"","logFC","logCPM","F","PValue","FDR"
"TMEM184A",2.50217749068472,2.80672259035327,29.8868641109638,6.13617927144784e-06,0.00522658935921109
"IFNAR2",-1.5329019900989,5.39924472590723,29.7329427256877,6.38568216093198e-06,0.00522658935921109
"LINC01075",4.62598078898774,-1.285334190142,29.621038980827,6.57386781396693e-06,0.00522658935921109
"MIR2052",4.11110304566698,-1.65162207531827,29.5038963684634,6.77722493117709e-06,0.00522658935921109
"PLEKHG3",-1.63418132862127,6.18289575764075,29.266645202186,7.20996325845605e-06,0.00522658935921109
"MIR3659",4.20137296246299,-1.64510210261287,29.236250017743,7.26750093997011e-06,0.00522658935921109
"ACER2",1.22618360294406,2.74782265413455,29.2205385188779,7.29743468948689e-06,0.00522658935921109
"RNF14",-1.96057971155847,5.71434520032913,29.1084605138055,7.51482516408411e-06,0.00522658935921109
"NINJ2",-1.93208110447218,4.51810910562368,29.0149098010113,7.7015765597642e-06,0.00522658935921109
"MAT2B",-1.74523096977495,5.80374672225287,28.4257395738832,8.99771611657798e-06,0.00546400859798694
"E2F1",1.75845356015109,2.64264096372643,28.418692781198,9.01456137245283e-06,0.00546400859798694
"SHPRH",-1.12853505560269,5.08261501870632,28.3664933361606,9.14039727928924e-06,0.00546400859798694
"MIR3976",4.01489821339249,-1.6794291989738,28.3274257095204,9.23580379392897e-06,0.00546400859798694
"MS4A7",-2.16024645440982,4.85553474524992,28.2826907772263,9.34635839463671e-06,0.00546400859798694
"MIR138_1",4.04463979952095,-1.68506700891372,28.2531893487222,9.42003895989597e-06,0.00546400859798694
"TSPAN9",1.90736595519072,3.21585362968302,28.1556270622269,9.66815482317407e-06,0.00546400859798694
"MIR548B",4.05663611392376,-1.73685399764641,27.8494795323531,1.0493118749169e-05,0.00546400859798694
"HPS3",-1.3224994828967,4.20122754483949,27.8184622557228,1.05808009806358e-05,0.00546400859798694
"TRAPPC11",-1.13196157577971,5.04158644773956,27.7839606372524,1.067925337555e-05,0.00546400859798694
"ZNF143",-1.11561338126555,4.33582274157133,27.7180542314371,1.08700517139061e-05,0.00546400859798694
"DDX46",-1.05914316077662,5.58810902466841,27.7119884162412,1.0887794284168e-05,0.00546400859798694
"OR2B6",3.00575856205844,0.729749842507019,27.6877908102227,1.09588809832328e-05,0.00546400859798694
"UQCRB",-1.68851949266086,6.46979497883149,27.5507424680212,1.13709647905143e-05,0.00546451151500242
"GIMAP7",-2.82176497718455,5.74189469435212,27.3871475418713,1.1884658539e-05,0.00546451151500242
"MIR3156_1",4.27850894689652,-1.63284775863551,27.3560753201235,1.19849982265953e-05,0.00546451151500242
"WDR90",2.23238338434979,3.14327996497308,27.3442590138567,1.20233931057056e-05,0.00546451151500242
"MIR1266",3.68914484794137,-1.76366288116804,27.1864658056828,1.25488996820067e-05,0.00546451151500242
"FGFR1OP2",-1.89411712782938,6.47644401512231,27.1475750745975,1.26821532797673e-05,0.00546451151500242
"MIR498",4.45668690662015,-1.37139056465231,27.0543093883157,1.30079135406571e-05,0.00546451151500242
"LGMN",1.38476461449583,2.49516632345366,26.8588574068995,1.37199503131348e-05,0.00546451151500242
"LAPTM4B",1.55660267369836,2.11340568091563,26.7760208517042,1.40341885747748e-05,0.00546451151500242
"SIRPB2",-1.89517060540051,4.61869453361809,26.6913588750923,1.43633106542957e-05,0.00546451151500242
"SIGLEC10",-1.39012961531201,4.78777132969275,26.5734235054186,1.48355966583268e-05,0.00546451151500242
"IL16",-1.82454096377775,6.99087278746034,26.5669570965713,1.48619674358445e-05,0.00546451151500242
"CMTM5",1.58562408096178,3.70063358326654,26.4806737632353,1.52186740937945e-05,0.00546451151500242
"MRFAP1L1",-1.80973168728556,4.65102187802075,26.4795504554202,1.52233778749217e-05,0.00546451151500242
"MBP",-1.6910207581145,7.18210769064949,26.4130447798232,1.55046535541638e-05,0.00546451151500242
"CSTF1",-1.05182351668448,3.37805052050441,26.382935440082,1.56338177219707e-05,0.00546451151500242
"PCDH11Y",5.14593953661231,-1.01709168321802,26.3349841793429,1.58418999479835e-05,0.00546451151500242
"CACNA1H",3.1142800861174,2.61190437234613,26.2894903236388,1.60420555758879e-05,0.00546451151500242
"MIR4266",3.98296831895026,-1.61696193530507,26.2612302982741,1.6167748109037e-05,0.00546451151500242
"CD300LF",-1.1088820007608,4.58487799233859,26.252069222292,1.6208719465195e-05,0.00546451151500242
"SAMD11",3.3565431759603,1.19540485342778,26.2288241308025,1.63131778512643e-05,0.00546451151500242
"TNFAIP8L2",-2.78141902339502,4.13389912062244,26.225538899855,1.63279988782766e-05,0.00546451151500242
"RCBTB2",-1.86504213804151,4.70017846315349,26.1325447604317,1.67535580422351e-05,0.00553116454770062
