baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AATF,249.66728376905,0.11369181247875,0.152765637278846,0.744223730571199,0.456741133778319,0.54078671141622
AATK,185.759631467628,-0.101922292928845,0.444442036016313,-0.229326401801256,0.818615234535386,0.85868336449283
AATK_AS1,6.41867059009743,-2.5037952040441,1.94793321991424,-1.28535987704668,0.198666555212171,0.317198905366069
ABALON,114.502115974899,0.0486001525331368,0.363687192455822,0.133631740521191,0.893693783979934,0.919796877046874
ABAT,99.7627549100836,-0.488628440087764,0.323413307056632,-1.51084828430452,0.130827109544083,0.245838036309014
ABCA1,800.55180782298,-0.11087148862098,0.445374968520356,-0.248939649637972,0.803407464532225,0.846984736071767
ABCA10,24.3692042164098,-1.69478811039719,0.58684985818175,-2.88794158636792,0.00387771877822926,0.0347305928233441
ABCA11P,12.1786416272428,0.152177582878669,0.369923960522594,0.411375307140654,0.680797357370405,0.743622493098736
ABCA12,34.5346367263384,-2.56286735624656,1.56419946592304,-1.63845303113833,0.101327224336145,0.209163567757835
ABCA13,121.717552583089,-1.472938092312,0.795056480296758,-1.85262069905049,0.0639367434988928,0.156892049899442
ABCA17P,14.1771719992965,-2.68397343880613,1.36426309023726,-1.96734299858494,0.0491436810433367,0.134228263148218
ABCA2,402.588459071914,-0.392633769881064,0.334671399170243,-1.17319188569602,0.240718865265298,0.355233325640077
ABCA3,52.1623122487638,-1.6615686035624,0.61717061120681,-2.69223545870627,0.00709748172551827,0.0468696938993653
ABCA4,42.3069249009189,-2.99391041642231,1.78842256751849,-1.67405090429857,0.0941205954485868,0.199852931991507
ABCA5,140.87489898466,0.0220598162320365,0.273990979913935,0.0805129287065066,0.935829313996162,0.951977286666307
ABCA6,19.1951480481796,-2.30059547023019,0.794515195424982,-2.89559656439248,0.00378438576658025,0.0342871125797645
ABCA7,661.810076846065,-0.042253433477779,0.346242059425082,-0.122034375453805,0.902871794043093,0.926909457096442
ABCA8,16.6691096074361,-2.41135387372388,1.82698368232456,-1.31985517826618,0.186883374832336,0.305668599882307
ABCA9,16.5326723635831,-2.14884543678322,1.04350567137207,-2.05925611689085,0.0394697099207622,0.117874856037657
ABCA9_AS1,1.58342457931482,-4.51542097349629,3.42565573786095,-1.31811872500528,0.187463907112511,NA
ABCB1,113.019980750755,-0.204768593820429,0.452489756018148,-0.452537523992514,NA,NA
ABCB10,334.696086343496,0.531776766009241,0.367081922881648,1.44865963933804,0.147432657054969,0.264182291630986
ABCB11,11.9485708905541,-2.42556511386822,1.64858921144061,-1.47129745665911,0.141210690841399,0.257064884338996
ABCB4,30.6281018008833,-1.00705134989909,0.584222062149276,-1.72374755276149,0.0847534264219985,0.187056979778887
ABCB5,25.8955096812486,-1.92999819505903,0.741695963484005,-2.60214196932279,0.00926434921422995,0.0535847618706369
ABCB6,53.5548553655086,-1.13591014750226,0.435631164764751,-2.60750432792308,0.00912049175319428,0.0531807516811889
ABCB7,106.278394888473,0.308237497197318,0.186135696665977,1.65598271969537,0.097725318329034,0.204665578429583
ABCB8,78.0350324562267,-1.16378463854904,0.426212349656065,-2.73052772752401,0.00632330136823462,0.0443329122550839
ABCB9,19.0784767707381,-2.02658358017722,0.825507537259553,-2.45495466571377,0.0140902356398501,0.0655460035344516
ABCC1,322.397413507529,-0.582881340750939,0.248651726386768,-2.34416768071938,0.0190695959276252,0.0774715569135798
ABCC10,131.839336695218,-0.477656780607885,0.391319326922444,-1.22063171365556,0.222225493165503,0.33834563920649
ABCC11,26.1610725086094,-2.82089467565551,1.80806147243702,-1.56017630963251,0.118718222380506,0.231205022915282
ABCC12,26.0148398886366,-2.95649672527165,2.33349699568981,-1.26698115777847,0.205162027305878,0.323023610473433
ABCC13,135.503401918956,1.00305395923374,0.494910482863383,2.02673815561637,0.0426891981539471,0.123272338183516
ABCC2,47.1919237788365,-1.70649115292743,0.540072269889151,-3.15974592303671,0.00157906775563029,0.0226116638694168
ABCC3,207.183404940972,-1.18088277108228,0.38556324888672,-3.06274722627733,0.00219315230221235,0.0265050114278689
ABCC4,780.487622198508,0.367350621628985,0.367951822987527,0.998366086751086,0.318101872190499,0.420092005202935
ABCC5,179.322571455124,-0.00375626417508669,0.310154736745034,-0.0121109360266665,0.990337107345124,0.992727671340201
ABCC5_AS1,3.24160157553653,-1.77825124263951,0.832182612603842,-2.13685219530781,0.0326100152494866,0.105132975410184
ABCC6,49.4606336093117,-1.57285097946559,0.646728120663988,-2.43201266376165,0.0150151823235087,0.067817997718855
ABCC6P1,8.34327845505988,-2.28146407354936,1.63338304774811,-1.39677222479732,0.162482077194996,0.280578806473309
ABCC6P2,1.24000939343239,-1.07234388268593,4.09430904463429,-0.261910830617749,0.793390189392502,NA
ABCC8,34.757650132236,-2.65558390827953,2.24016731120629,-1.18543998700237,0.235843529482016,0.350961696343095
ABCC9,17.3655488439987,-2.73608565041582,1.92929772060095,-1.4181769983969,0.156139095573366,0.274186194178359
ABCD1,86.2672790491157,-0.258564171332974,0.305457110244753,-0.846482739019547,0.397283499043808,0.488105364039143
ABCD2,67.3224187070975,0.663850626910545,0.419506755719066,1.58245515205746,0.113545702767974,0.22517273446337
ABCD3,84.0990083842755,0.176813603642619,0.198892749667738,0.888989688854906,0.374008621375478,0.469063896502618
ABCD4,105.573643608331,-0.488716135242873,0.250815771814411,-1.94850639458389,0.0513544004275131,0.138076002866716
ABCE1,142.173398927097,0.281294606499638,0.252909776239253,1.11223302903693,0.266037970180763,0.376068599638872
ABCF1,270.384305880201,-0.366674767516909,0.177350778444713,-2.06751146362301,0.038685985133,0.116426432079889
ABCF2,98.3060750060474,-0.716292903289443,0.293138116407483,-2.44353382653843,0.0145442060815016,0.0664967402456073
ABCF3,159.919151015238,-0.322346411415642,0.269246538380597,-1.19721654864875,0.231222161301443,0.346520324182341
ABCG1,152.171940482945,-0.205415660337072,0.373300656164596,-0.550268682749112,0.582135100999217,0.655881528278049
ABCG2,125.782199173746,-0.0152210126408603,0.435732911358271,-0.0349319783842199,0.972133981103762,0.978934022941366
ABCG4,19.6636946751288,-2.42962780231153,1.77855975454893,-1.36606475891372,0.171918638265716,0.290690711354621
ABCG5,8.25655237908691,-2.8868972498023,1.76122206252334,-1.63914438231951,0.101183193704504,0.208963973358817
