baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCC6,49.4606336093117,-1.53410285909967,0.690502963215603,-2.22171799517775,0.0263023696459427,0.0674967638283849
ABCC6P1,8.34327845505988,-4.13985000820411,1.84309053420826,-2.24614577057794,0.0246946724377777,0.0646492612735839
ABCC6P2,1.24000939343239,-4.05275677553198,4.39725340328014,-0.921656407726883,0.356707825529275,NA
ABCC8,34.757650132236,-5.68040854781409,2.45016657923463,-2.31837647119834,0.0204288696474167,0.0563284117918331
ABCC9,17.3655488439987,-2.64685036838799,2.06915778610538,-1.27919213612508,0.200829404401667,0.284300620434477
ABCD1,86.2672790491157,-0.545419559241916,0.319834375053484,-1.70531875803127,0.0881349910018904,0.15984790032493
ABCD2,67.3224187070975,-0.107458700194697,0.437329125068386,-0.245715855713688,0.805902197347797,0.847518212288136
ABCD3,84.0990083842755,0.523194027515733,0.19890451837047,2.63037779031875,0.00852900286529851,0.0298601038153413
ABCD4,105.573643608331,-1.10014541851252,0.265787056831405,-4.13919861872873,3.48521120036951e-05,0.000424102882329447
ABCE1,142.173398927097,0.112246106586842,0.26227002785222,0.427979161424,0.668666292014926,0.732493971244949
ABCF1,270.384305880201,-0.535370701931578,0.186217338928379,-2.87497772770497,0.00404055999066334,0.0169555671642343
ABCF2,98.3060750060474,-0.479634782799003,0.309478131278591,-1.54981801401417,0.121185202077634,0.198607577249253
ABCF3,159.919151015238,-0.453001338766605,0.283091049946185,-1.60019661113525,0.109554973716617,0.185507503478018
ABCG1,152.171940482945,-0.228798271538082,0.393497504531369,-0.581447833603333,0.560938667063585,0.634963903149111
ABCG2,125.782199173746,0.702207308537683,0.457133793977945,1.53610894182013,0.124511663589445,0.202396424511848
ABCG4,19.6636946751288,-7.35283183478174,2.05897242466706,-3.57111719743926,0.000355461785377133,0.00264517443912439
ABCG5,8.25655237908691,-4.35813911087877,2.00503407161962,-2.17359853010296,0.0297352989125701,0.0736235909621956
ABCG8,8.67138578229248,-5.14674475236808,2.42326585378699,-2.12388778735315,0.0336795278493935,0.0805519576912582
ABHD1,15.8918406206779,-0.192176665093772,0.701668730796202,-0.27388517780421,0.784172862611445,0.830194726577578
ABHD10,54.8726568168815,-0.11033599919743,0.281620989789054,-0.391788975956928,0.695214141133882,0.755583990726177
ABHD11,20.0168011511299,-0.193304806030914,0.456327088652579,-0.423610192859019,0.671850120496277,0.735161578072113
ABHD11_AS1,3.93840006960458,1.21466504632757,0.903880289814276,1.34383397891899,0.179002079062389,0.261461911273301
ABHD12,56.9721133431365,-0.244018099538968,0.390678302578994,-0.624601105124409,0.532232894185634,0.608631894439623
ABHD12B,28.9499607914792,2.15909166399803,0.874216843039156,2.46974384123291,0.0135209833805216,0.0418009553324738
ABHD13,171.44420584888,1.22792039384997,0.261039514574821,4.70396367327759,2.55158666924098e-06,5.11790274643051e-05
ABHD14A,14.3261608373612,-1.68140273237046,0.457445920908295,-3.67563170971533,0.000237261594643709,0.00191582163569115
ABHD14A_ACY1,0,NA,NA,NA,NA,NA
ABHD14B,66.0658029454328,-1.6109360093311,0.318132345973321,-5.06372907288778,4.11133825024336e-07,1.14212268612234e-05
ABHD15,57.439165535778,-0.63269949698734,0.292032809511596,-2.16653566441896,0.030270277598094,0.0745208436399556
ABHD16A,209.959335215391,0.432126737799049,0.194684676474489,2.21962378151355,0.0264443165668384,0.0677532489690352
ABHD16B,23.3042247739601,-0.994043653066657,0.428290025378642,-2.32095914955723,0.0202890486866242,0.0560660913480249
ABHD17A,219.532375462789,-1.93813079845717,0.301734718929551,-6.4232939627663,1.33356606091235e-10,1.98148615037535e-08
ABHD17B,54.7263709136967,0.481532385684957,0.183564337740992,2.62323494645456,0.00870991864506829,0.0303055788936785
ABHD17C,9.25059923337678,1.46624769925839,0.558554374989892,2.62507602645656,0.00866296217019371,0.0302162560110047
ABHD2,1036.78997804225,1.06393760371621,0.245268613908716,4.33784652165965,1.43885570824999e-05,0.000208311257505295
ABHD3,161.661594989785,1.49382745015745,0.310041815259699,4.8181483162398,1.44896648039393e-06,3.18814761854291e-05
ABHD4,97.5166839073402,0.332579421629909,0.253958246675547,1.30958307510607,0.190336917100937,0.273719151399214
ABHD5,317.307290927964,1.80575112350366,0.477285153340216,3.78338004202803,0.000154712906358795,0.00137991322168375
ABHD6,21.6464894015397,-0.483724697181519,0.462371803380135,-1.04618121962733,0.295477372004797,0.380855863869898
ABHD8,28.1825939019013,-1.23721065474423,0.361052825311195,-3.42667490187306,0.000611020121236408,0.00401509730524419
ABI1,533.170362721464,0.954761788665182,0.241692542282711,3.95031546959518,7.80482524816995e-05,0.000799782115380755
ABI2,107.870267679584,-0.257748596138423,0.223796308546292,-1.15171066856587,0.249439986806839,0.335014397123719
ABI3,97.066306903598,-1.06655627795804,0.315671027606275,-3.37869549209412,0.000728306300148892,0.00459848654935462
