"","logFC","logCPM","F","PValue","FDR"
"ZNF264",-0.500690256392125,4.79350297488789,11.916587568433,0.0012147945509288,0.0250308052884609
"R3HDM4",0.92277745247003,9.35834391529617,11.9079981947185,0.00121922956870638,0.0251006799735562
"SMIM14",-0.829904084118054,2.56375793314134,11.904912080639,0.00122082720647119,0.0251037738118213
"MOSPD1",0.802474084902428,4.0432910378205,11.9030784231383,0.00122177750900209,0.0251037738118213
"TCIRG1",0.755527478631562,7.53853999223724,11.9016625679006,0.00122251181625396,0.0251037738118213
"SCRN1",-0.627207011354225,3.72071527096473,11.8993297634699,0.0012237226961312,0.0251071979105552
"FAM220A",-0.880803932443615,1.71215522109781,11.8897388188555,0.0012287143167958,0.0251536087443848
"EIF3L",-0.770266788299526,5.95141007468983,11.8883553768538,0.0012294360986347,0.0251536087443848
"CLASRP",0.783134938942979,4.63720374872838,11.8879145919995,0.00122966616266234,0.0251536087443848
"VSIG4",-1.39006374951301,1.78628200528179,11.8852455677792,0.00123106020658713,0.0251536087443848
"HAX1",-0.669355417959562,3.69502025959314,11.8849492705389,0.00123121506662817,0.0251536087443848
"RIN3",0.694782437798499,5.75503644786655,11.8792532838955,0.00123419607062013,0.0251617241690125
"TTK",0.95795247200635,2.42535579478104,11.8768190206465,0.00123547236353197,0.0251617241690125
"NELL2",-0.965453004906189,4.71956005276303,11.8753053093193,0.00123626670854998,0.0251617241690125
"CRIM1",-0.72385611082651,3.03346474177939,11.874827661633,0.00123651747367456,0.0251617241690125
"JADE1",-0.556764821961707,5.14483384275108,11.8742052941485,0.00123684429708778,0.0251617241690125
"ATG13",0.452607090380256,5.19537080818246,11.8639997921548,0.00124221650060961,0.0252496517106159
"ADCY3",1.19335193623127,3.48261020114839,11.85726331949,0.00124577605643842,0.0253006174435121
"PRKCD",0.653416334627916,6.27573549889307,11.8512332021424,0.00124897148483123,0.0253441082905078
"NKAP",0.596908719383454,3.38538146548789,11.8269014137536,0.0012619531226106,0.0255532261966744
"RETSAT",-0.539129926013816,3.30311327300393,11.8255807120904,0.0012626618042705,0.0255532261966744
"SLC2A3",1.45328020832574,8.08940615150325,11.8244884608157,0.00126324821727203,0.0255532261966744
"CD69",1.4892331922926,5.86324682329209,11.8224693691835,0.00126433299193886,0.0255532261966744
