"","logFC","logCPM","F","PValue","FDR"
"ECI1",0.217127754834602,2.01026758248917,0.409035511416979,0.527393489174862,0.673577130132834
"BMS1P5",-0.321619863317326,4.47836966726151,0.408148649561679,0.527838469518648,0.674021634006075
"RPS15",-0.26198849195626,7.82367278768924,0.408130698866867,0.527847483294954,0.674021634006075
"NEMP1",-0.153319784548946,4.06983128771171,0.408104681673565,0.527860548087598,0.674021634006075
"PAXIP1",0.123889753931785,3.36261947791816,0.408038823472113,0.527893622075276,0.674021634006075
"SERPINB10",0.649861505114233,-0.0375547865903092,0.407750579983438,0.528038422437919,0.674131141447606
"ARL4A",0.381440629977096,6.54872835087987,0.407681118445071,0.52807332757709,0.674131141447606
"DNAJB12",-0.273878989079925,5.03854324258183,0.407641018346994,0.528093480206559,0.674131141447606
"SDR42E1",-0.268538585742163,1.42119019888492,0.407450988427903,0.528189000369138,0.674198254884623
"LOC101927204",0.279157663279257,1.55085638995544,0.407342570048583,0.52824351192112,0.674198254884623
"COX7B",0.364492147684738,4.28953543948637,0.407309466468699,0.528260158078108,0.674198254884623
"AP1B1",-0.14349568988341,5.39714922145114,0.407182521433574,0.528324001349544,0.674231191355077
"ZNF597",0.214590690638576,2.43314170208454,0.407003712355312,0.528413952011633,0.674297438151191
"PFDN6",0.222250207806928,2.63183529298188,0.406570445943035,0.528632024519099,0.674527157113846
"UBE2H",0.291999127220878,7.91257788102443,0.40638955693295,0.528723118576486,0.6745948319216
"ADAM1A",-0.250280684952153,2.53148637859262,0.406102606121065,0.528867683233337,0.674730714912489
"CFAP44",-0.195861063235938,3.69996940499896,0.405740866162958,0.529050029312234,0.67491477650872
"NAP1L3",-0.358596632923529,0.498400807508195,0.405562652862169,0.529139905430868,0.674980855186209
"TMEM245",0.237592132474603,5.89579620569442,0.405473748100878,0.529184752110798,0.674989488084911
"SNORD8",-0.365943263005442,0.31717529876501,0.405302166150649,0.529271323717368,0.675004064012213
"SEC24A",0.188878053799216,4.92378916448497,0.40530015368649,0.52927233925904,0.675004064012213
"TRUB2",-0.182941670369697,2.71308499759519,0.405131315100422,0.529357552286658,0.675019282709595
"CCT2",0.249546816697931,6.23661801498113,0.405125606689775,0.529360433766562,0.675019282709595
"SLC25A15",-0.252732984481159,2.04051751572789,0.404918231380551,0.529465131709244,0.675104224189186
"RARRES1",-0.38145704016965,0.286574109358131,0.404715379905854,0.529567582353283,0.675186288196381
"VPS37B",-0.155953316073378,4.78154006287923,0.404111047582353,0.529873017045769,0.675527121702625
"CENPB",0.19629019242755,4.0664418515894,0.403857955681518,0.530001027671122,0.675641727184344
"C1orf131",0.16234007694393,2.5719171462948,0.40371155165542,0.530075102800676,0.675687564522134
"AURKA",-0.282131194112801,4.83024313132619,0.403054518554731,0.530407771400101,0.676063001066958
"TAS2R5",-0.463770906679901,-0.255142631243906,0.402854730755695,0.530509003700502,0.676143413833412
"ASCL2",0.274704756513633,1.20853532049899,0.402730288996788,0.530572076130917,0.676175183082655
"COPS3",0.245999121695302,5.43369696698749,0.402352117913628,0.530763833887408,0.676362248415753
"MIR4480",-0.320061836174178,0.527068513224752,0.402290336827319,0.53079517306282,0.676362248415753
"DGCR11",0.202378423492777,2.60873329142074,0.401877424326663,0.531004714918771,0.676529874602515
"RIN3",0.183451666566983,5.76526577146294,0.401778937638725,0.531054716649841,0.676529874602515
"TRIM55",1.05931054947827,1.04775312879999,0.401758458173796,0.531065115167501,0.676529874602515
"OR6K3",-0.58598555040256,-0.992186775756193,0.401730352553334,0.531079386499718,0.676529874602515
"LINC00982",-0.930989798843183,0.664791553869117,0.401530613915885,0.531180829069795,0.676607485598083
"MARK3",0.262043328553806,7.99667133283874,0.40146009550928,0.531216652209665,0.676607485598083
"HOXB2",-0.362290220795618,0.986300925312753,0.401252011421167,0.531322384159642,0.676693532232635
"PIWIL4",0.316038482496637,2.44228677323249,0.400334034181001,0.531789289579177,0.677239524899812
"PRICKLE1",-0.325477353455482,1.69249313992278,0.399741631847841,0.532091000148395,0.677563285071625
