baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCA5,140.87489898466,-0.269375830375749,0.199034884672885,-1.3534101362104,0.175924641032129,0.387121090941974
ABCA6,19.1951480481796,0.143040372957733,0.587159261758335,0.243614266646118,0.807529577959723,0.953793893210321
ABCA7,661.810076846065,0.113862068498187,0.249541596967965,0.45628492356248,0.64818510391666,0.871881621569706
ABCA8,16.6691096074361,0.0836434541985023,1.32417320716254,0.063166550830412,0.94963388013829,0.990726072477283
ABCA9,16.5326723635831,-0.141151606960873,0.765990030438122,-0.184273425699991,0.853798960142374,0.967311190277827
ABCA9_AS1,1.58342457931482,0.835105734222376,2.51041391076804,0.332656591265813,0.739393520151679,NA
ABCB1,113.019980750755,-0.250188070397187,0.328065010144504,-0.76261735528268,NA,NA
ABCB10,334.696086343496,0.513857965358502,0.263740297101438,1.94834832221663,0.0513732988228107,0.162900794302586
ABCB11,11.9485708905541,0.224918487318079,1.19966527040477,0.187484369904441,0.851280877416557,0.966537959349455
ABCB4,30.6281018008833,-0.0541393657308541,0.42810573753696,-0.126462602539122,0.899365750181394,0.979912206054036
ABCB5,25.8955096812486,0.546746778971354,0.542818424323455,1.00723695893852,0.313820916228928,0.567070038953751
ABCB6,53.5548553655086,0.416830412686653,0.318360836638827,1.30930178814531,0.190432144172809,0.407527818476417
ABCB7,106.278394888473,0.0120798367493957,0.133130750437476,0.0907366383025754,0.927701857541264,0.987050331208952
ABCB8,78.0350324562267,-0.100218256954353,0.311538647515709,-0.321688040162975,0.747689039209049,0.929142369328154
ABCB9,19.0784767707381,-0.414223100297359,0.611055567133322,-0.67788123139214,0.497847001040282,0.750353856967623
ABCC1,322.397413507529,0.177027138179348,0.180158774970269,0.982617350770518,0.325795801650364,0.579751294226779
ABCC10,131.839336695218,-0.380546804568632,0.28427789534408,-1.33864366804894,0.180686702983349,0.393755793726919
ABCC11,26.1610725086094,0.316926567696823,1.30799993984721,0.24229861029951,0.808548790518547,0.953793893210321
ABCC12,26.0148398886366,-0.234641368420864,1.68750462706525,-0.13904635558181,0.889413518349785,0.978501776296591
ABCC13,135.503401918956,0.722964080833483,0.353157644302526,2.04714266418135,0.0406440790216329,0.137988101684719
ABCC2,47.1919237788365,0.176060157280667,0.396292962254672,0.44426768590335,0.656849061079755,0.877901941522627
ABCC3,207.183404940972,0.225761225402382,0.279347265031377,0.808174103215308,0.418990363459959,0.676724153531846
ABCC4,780.487622198508,0.822162670111014,0.264649549261809,3.1066089944392,0.00189246529392722,0.0159506585520596
ABCC5,179.322571455124,-0.516537376999581,0.225219630940951,-2.29348292083389,0.0218202175377033,0.088934332060264
ABCC5_AS1,3.24160157553653,-0.96618147130526,0.670068041525381,-1.44191546444416,0.149326223030089,NA
ABCC6,49.4606336093117,-0.532548417903672,0.47334439941269,-1.12507598814825,0.260556835422015,0.502051073832568
ABCC6P1,8.34327845505988,-0.486128869691883,1.19815784144383,-0.405730240938936,0.684940819831855,NA
ABCC6P2,1.24000939343239,-1.59260605161626,2.97080189811283,-0.53608625086309,0.591898941983649,NA
ABCC8,34.757650132236,-0.0233829415178769,1.61711590131555,-0.0144596571580642,0.988463264820484,0.998264349181722
