DMRnumber	mean_severe	mean_mild	beta_diff
2142	88.9239618402581	68.8029643462186	20.1209974940395
7633	80.5632664024768	60.4948417503518	20.068424652125
2173	81.5713507625272	61.5420331639833	20.0293175985439
4827	63.1215963851746	43.2411532276773	19.8804431574973
1153	48.4642239962739	28.6888164191467	19.7754075771272
8295	87.8189300411523	68.044572295525	19.7743577456273
1250	30.8737050592294	11.1001272356383	19.7735778235911
3506	79.1877104377105	59.4970639513082	19.6906464864023
4538	81.5661965036338	61.9595141343865	19.6066823692473
2531	67.1188211939526	47.6536474981757	19.4651736957769
5825	81.1221186222896	61.7078675872219	19.4142510350677
318	85.43430335097	66.1410178859125	19.2932854650575
8230	64.8379253457237	45.5873383862514	19.2505869594723
11642	98.4122070508337	79.3171623060861	19.0950447447476
6420	80.0745550745551	61.0064422036509	19.0681128709042
935	80.4034115221606	61.5282575790099	18.8751539431507
11613	91.972816501802	73.2689380099866	18.7038784918154
940	82.3313229253342	63.7278703584501	18.6034525668842
4205	90.176695732704	71.5832627515961	18.5934329811079
7054	94.6061140505585	76.0821364625712	18.5239775879873
12332	79.922544228833	61.4106365600077	18.5119076688254
4396	83.0407362946855	64.7585319448359	18.2822043498496
12195	79.1383525697251	60.9495599945031	18.188792575222
6543	88.3013111044384	70.1378944790402	18.1634166253982
7254	38.5416083916084	20.5640415019434	17.977566889665
10465	42.5981065528792	24.6324063741443	17.9657001787349
6968	84.0307840311544	66.2660633377611	17.7647206933933
12173	87.4162257491887	69.7106074204208	17.7056183287679
3048	92.5205760961862	74.8283298826777	17.6922462135085
10322	72.9817376231831	55.3493991153947	17.6323385077884
2092	88.9109112876907	71.3030538303727	17.607857457318
6411	37.3881679373248	19.9865440056331	17.4016239316916
3504	92.3465736271372	75.1227001432886	17.2238734838486
11952	81.8041180214549	64.6235856347023	17.1805323867525
7384	78.5081445302866	61.4127140151405	17.0954305151462
8588	94.7530864197531	77.6742570744849	17.0788293452682
2168	84.3369974252327	67.4886541597829	16.8483432654498
12433	43.4613113242877	26.6641631133325	16.7971482109553
3663	94.9346405223969	78.1513898978404	16.7832506245565
11337	69.0272011933917	52.2788966267227	16.748304566669
10421	78.8381834215168	62.1067247971429	16.7314586243739
6265	29.1133557800224	12.4689440993789	16.6444116806436
13246	74.9694606622908	58.3255291406016	16.6439315216892
2121	32.6617826617827	16.0208635928883	16.6409190688943
6944	95.6563180827887	79.060010038126	16.5963080446627
1207	40.6108706108706	24.0292155509547	16.5816550599159
1700	62.1062271061037	45.5261024105756	16.5801246955281
176	56.2336789050653	39.6962819786974	16.5373969263679
7812	91.349140757941	74.9121566838958	16.4369840740452
5179	46.0489533147627	29.6259449942605	16.4230083205022
10489	96.5608465608466	80.1578656233733	16.4029809374733
8177	91.2213403876367	74.8619737746791	16.3593666129576
10795	81.8518478981292	65.5030264548954	16.3488214432338
1805	92.6575698509227	76.3310119832687	16.326557867654
2842	89.3448859253716	73.0717108976736	16.273175027698
1876	87.4116530286839	71.1484954863898	16.2631575422941
7659	84.8688522514188	68.6119737750172	16.2568784764016
13372	82.8464890229596	66.5961244452879	16.2503645776717
5936	68.9902461149633	52.7865972365749	16.2036488783884
7076	43.3539907179909	27.1540054147301	16.1999853032608
6101	81.4824183821257	65.2974662215886	16.1849521605371
12622	88.6348256966642	72.4945464636669	16.1402792329974
8233	96.1439794773128	80.0214985459453	16.1224809313675
8405	93.9969135802469	77.9080040195593	16.0889095606876
